location,price,type,bds,ba,area,zip_code,url,total_found
"109 Drake Ave SW, Huntsville, AL 35801",190000,House for sale,2,2,1200,35801,https://www.zillow.com/homedetails/109-Drake-Ave-SW-Huntsville-AL-35801/92083199_zpid/,119
"1320 Wellman Ave NE, Huntsville, AL 35801",329900,House for sale,3,2,2040,35801,https://www.zillow.com/homedetails/1320-Wellman-Ave-NE-Huntsville-AL-35801/92081857_zpid/,119
"301 Drake Ave SW, Huntsville, AL 35801",160000,House for sale,4,2,2216,35801,https://www.zillow.com/homedetails/301-Drake-Ave-SW-Huntsville-AL-35801/92117096_zpid/,119
"200 Beirne Ave NW, Huntsville, AL 35801",165000,House for sale,3,3,1800,35801,https://www.zillow.com/homedetails/200-Beirne-Ave-NW-Huntsville-AL-35801/92144966_zpid/,119
"301 Holmes Ave NE SUITE 204, Huntsville, AL 35801",379900,Condo for sale,2,3,1162,35801,https://www.zillow.com/homedetails/301-Holmes-Ave-NE-SUITE-204-Huntsville-AL-35801/109330599_zpid/,119
"409 Newman Ave SE, Huntsville, AL 35801",599000,House for sale,4,2,2305,35801,https://www.zillow.com/homedetails/409-Newman-Ave-SE-Huntsville-AL-35801/92103005_zpid/,119
"3030 Cliffs Edge Cir, Huntsville, AL 35801",399000,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/3030-Cliffs-Edge-Cir-Huntsville-AL-35801/2077838700_zpid/,119
"46 SE Saint James Sq, Huntsville, AL 35801",550000,House for sale,3,4,3135,35801,https://www.zillow.com/homedetails/46-SE-Saint-James-Sq-Huntsville-AL-35801/2077843500_zpid/,119
"1417 Humes Ave NE, Huntsville, AL 35801",285000,House for sale,2,2,1213,35801,https://www.zillow.com/homedetails/1417-Humes-Ave-NE-Huntsville-AL-35801/92132423_zpid/,119
"1208 Mckinley Ave NE, Huntsville, AL 35801",187000,House for sale,3,2,1775,35801,https://www.zillow.com/homedetails/1208-Mckinley-Ave-NE-Huntsville-AL-35801/92117063_zpid/,119
"2313 Poincianna St SW, Huntsville, AL 35801",310000,House for sale,3,2,1760,35801,https://www.zillow.com/homedetails/2313-Poincianna-St-SW-Huntsville-AL-35801/92101509_zpid/,119
"214 Beirne Ave NW, Huntsville, AL 35801",55000,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/214-Beirne-Ave-NW-Huntsville-AL-35801/95287268_zpid/,119
